day,group,zone_wind,meridian_wind,humidity,air_temperature,sea_temperature
1,180W,-3.75,-1.95,88.53,27.89,28.8
2,180W,-4.55,-0.45,89.97,27.88,28.79
3,180W,-4.97,-1.68,88.77,28.13,28.92
4,180W,-4.47,0.3,87.6,28.3,29.05
5,180W,-3.8,0.13,87.7,28.02,29.11
6,180W,-3.6,-1.23,87.7,27.91,29.0
7,180W,-2.67,-1.1,86.65,28.3,29.1
8,180W,-3.3,-0.9,86.8,28.33,29.11
9,180W,-4.0,-0.47,85.55,28.36,29.18
10,180W,-3.97,-0.57,85.4,28.31,29.24
11,180W,-4.22,-1.15,86.35,28.08,29.23
12,180W,-3.48,-2.35,88.35,27.96,29.14
13,180W,-5.43,-2.7,85.6,28.49,29.12
1,170W,-5.78,-3.24,87.66,28.15,28.78
2,170W,-6.06,-3.22,88.72,28.19,28.81
3,170W,-6.25,-1.68,87.0,28.2,28.86
4,170W,-5.98,-2.34,88.74,28.14,28.81
5,170W,-5.28,-2.16,88.64,28.2,28.69
6,170W,-5.6,-1.85,87.7,28.19,28.82
7,170W,-5.74,-3.36,87.9,28.28,28.71
8,170W,-3.88,-1.63,86.42,28.09,28.92
9,170W,-3.63,-1.72,85.08,27.99,28.96
10,170W,-3.98,-3.08,84.15,28.14,29.0
11,170W,-4.2,-2.86,85.72,28.13,28.86
12,170W,-4.14,-3.36,88.32,28.08,28.81
13,170W,-4.2,-2.36,86.64,28.18,28.87
1,155W,-0.65,0.15,83.97,27.19,28.44
2,155W,-2.9,-1.22,85.9,27.57,28.46
3,155W,-4.07,-2.38,85.67,27.91,28.53
4,155W,-4.87,-2.22,84.93,28.04,28.55
5,155W,-5.67,-1.03,83.42,28.24,28.58
6,155W,-5.02,-0.27,83.9,28.24,28.6
7,155W,-4.32,-1.98,83.88,28.11,28.64
8,155W,-4.17,-2.08,81.32,28.15,28.69
9,155W,-2.17,-0.53,79.47,28.08,28.89
10,155W,-3.43,-0.82,79.17,27.98,28.89
11,155W,-5.23,-0.52,80.6,27.89,28.78
12,155W,-5.82,-1.37,81.22,27.73,28.57
13,155W,-6.63,-0.27,81.33,27.85,28.46
1,140W,-1.28,0.1,87.02,27.2,27.97
2,140W,-1.55,-1.48,86.15,27.06,27.99
3,140W,-4.18,-3.4,85.07,27.5,28.04
4,140W,-5.05,-1.88,85.28,27.34,28.0
5,140W,-4.15,-0.18,85.48,27.25,27.99
6,140W,-6.22,-1.22,86.0,27.41,27.97
7,140W,-5.4,-1.52,85.05,27.14,27.77
8,140W,-3.75,-1.75,87.12,26.64,27.59
9,140W,-4.22,-0.57,85.17,26.5,27.42
10,140W,-2.85,-1.65,84.03,26.35,27.39
11,140W,-4.92,-2.18,84.53,26.59,27.37
12,140W,-5.62,-1.47,83.73,26.53,27.33
13,140W,-5.43,-1.02,82.58,26.52,27.28
1,125W,-6.0,0.27,85.65,27.25,27.35
2,125W,-3.1,0.62,85.03,27.3,27.2
3,125W,-3.22,-0.2,85.6,27.04,27.29
4,125W,-4.68,0.95,83.4,26.89,27.03
5,125W,-4.87,1.07,83.22,26.73,26.95
6,125W,-6.1,-0.42,82.27,26.75,26.77
7,125W,-5.4,-0.15,83.35,26.29,26.67
8,125W,-4.0,0.42,82.93,26.24,26.58
9,125W,-3.8,0.33,83.23,26.11,26.39
10,125W,-4.62,-0.47,82.55,26.13,26.22
11,125W,-4.03,0.02,81.65,26.02,26.09
12,125W,-4.75,0.47,82.18,25.61,25.96
13,125W,-4.95,0.78,80.12,25.67,26.04
1,110W,-5.08,2.36,85.72,27.36,27.73
2,110W,-3.42,3.54,83.98,27.13,27.63
3,110W,-0.42,3.9,84.2,26.95,27.46
4,110W,0.6,1.4,83.96,26.63,27.47
5,110W,-1.82,1.8,84.16,26.76,27.56
6,110W,-2.62,0.56,85.24,26.74,27.56
7,110W,-2.72,0.76,85.58,26.62,27.51
8,110W,-3.02,2.08,84.88,26.71,27.37
9,110W,-2.08,1.26,84.9,26.68,27.33
10,110W,-2.62,0.9,84.22,26.63,27.22
11,110W,-1.9,1.0,84.42,26.73,27.25
12,110W,-1.42,2.08,84.88,26.19,27.15
13,110W,-1.58,3.58,83.98,26.47,27.34
1,95W,-4.7,4.1,84.14,27.32,27.55
2,95W,-3.52,3.3,83.43,27.36,27.47
3,95W,-2.13,3.23,85.21,26.73,27.25
4,95W,1.23,2.82,83.97,26.98,27.17
5,95W,-1.67,2.32,83.5,26.95,27.27
6,95W,-2.54,2.72,84.42,26.88,27.8
7,95W,-3.97,3.0,83.75,27.18,27.1
8,95W,-3.7,1.92,70.34,26.75,27.21
9,95W,-2.68,1.72,82.57,27.18,27.13
10,95W,-2.22,1.54,83.77,27.2,26.11
11,95W,-2.5,0.8,82.62,27.48,26.55
12,95W,-1.72,2.18,85.75,26.91,26.55
13,95W,-1.52,3.0,85.83,26.8,26.31
1,156E,-4.54,-3.02,83.24,28.59,29.27
2,156E,-4.7,-2.62,82.24,28.5,29.24
3,156E,-5.1,-1.88,82.46,28.41,29.31
4,156E,-4.14,-0.9,84.02,28.25,29.3
5,156E,-3.84,-2.54,83.82,28.29,29.31
6,156E,-2.48,-3.54,81.62,28.55,29.34
7,156E,-2.84,-3.04,82.7,28.09,29.24
8,156E,-3.0,-0.1,83.16,28.03,29.24
9,156E,-2.86,-1.3,83.26,28.12,29.29
10,156E,-3.56,-2.44,84.58,28.77,29.26
11,156E,-5.26,-4.56,84.45,28.67,29.18
12,156E,-6.42,-1.96,83.95,28.62,29.11
13,156E,-6.46,-1.2,84.58,28.56,29.07
1,165E,-3.0,-3.32,86.24,27.95,28.86
2,165E,-3.56,-2.0,84.82,28.28,28.96
3,165E,-4.32,-0.76,84.42,28.37,29.02
4,165E,-4.82,-1.94,86.42,28.43,29.06
5,165E,-3.38,-3.14,83.4,28.39,29.05
6,165E,-1.24,-2.54,83.16,28.12,29.02
7,165E,-3.28,-1.08,84.96,27.79,28.92
8,165E,-3.18,1.76,85.5,27.98,28.91
9,165E,-3.68,-1.24,87.18,27.77,28.93
10,165E,-4.9,-3.82,86.65,27.85,28.88
11,165E,-4.88,-2.42,85.15,27.93,28.84
12,165E,-5.67,-0.25,87.1,28.29,28.86
13,165E,-5.83,-1.33,89.33,28.27,28.91
